UPRN,Site Name,Address,Easting,Northing,Ward,Holding Type,Tenure,Operational Status,GIA,Lease Information,Site Function,Sub Function,Function Detail,waterfront_properties,floor_space,built,price
9905174,Site A,"138 Mill Rd, Manchester",393030.2222,387565.8186,Ward 5,Freehold,Short-term,Non-Operational,90.71382312,Lease 3,Commercial,Function 2,Detail 1,1,91.25531063,1958,298676.2597
9964003,Site A,"887 Main St, Manchester",350841.752,354212.9803,Ward 1,Leasehold,Long-term,Non-Operational,294.0260077,Lease 1,Commercial,Function 1,Detail 1,0,134.5091958,1969,259919.8648
9521770,Site C,"881 Church St, Bolton",320485.2715,348876.8588,Ward 5,Freehold,Long-term,Non-Operational,498.1285084,Lease 1,Residential,Function 1,Detail 2,0,102.7210108,1985,311737.9925
5508423,Site B,"418 Broadway, Bolton",387011.5113,357575.2925,Ward 3,Freehold,Short-term,Non-Operational,219.421917,Lease 2,Commercial,Function 3,Detail 1,1,100.7339984,1934,285520.7704
9735201,Site D,"923 Broadway, Bury",380027.1793,388841.0204,Ward 2,Leasehold,Long-term,Non-Operational,409.4466168,Lease 1,Residential,Function 1,Detail 1,0,114.4858496,2021,453283.942
7983757,Site C,"829 Church St, Salford",339801.0735,364854.5937,Ward 5,Leasehold,Long-term,Non-Operational,221.9273249,Lease 1,Commercial,Function 3,Detail 1,0,118.668349,1946,234630.1489
5535469,Site B,"711 Main St, Stockport",384191.1545,378737.2406,Ward 1,Leasehold,Long-term,Operational,106.0008574,Lease 2,Industrial,Function 3,Detail 2,1,103.6590933,1972,329400.31
2276831,Site A,"682 Main St, Bury",300905.0473,371949.3304,Ward 1,Leasehold,Short-term,Non-Operational,428.9239627,Lease 2,Residential,Function 3,Detail 3,0,65.13884083,1992,309218.6686
1795977,Site B,"723 High St, Bolton",379974.7202,392350.8708,Ward 4,Leasehold,Long-term,Operational,345.891212,Lease 2,Commercial,Function 1,Detail 2,0,74.66821386,1994,322085.2745
8480059,Site C,"627 Broadway, Stockport",368804.0163,381693.7535,Ward 1,Freehold,Short-term,Non-Operational,109.726906,Lease 2,Residential,Function 1,Detail 1,1,106.3889134,1988,414361.2565
5091879,Site C,"323 High St, Stockport",337967.81,334120.4163,Ward 5,Freehold,Short-term,Operational,246.2201003,Lease 3,Residential,Function 3,Detail 1,1,111.0080692,1914,222577.5409
7405835,Site A,"137 High St, Stockport",379158.5828,385436.8603,Ward 1,Freehold,Long-term,Non-Operational,151.4410552,Lease 3,Residential,Function 1,Detail 2,1,80.78848137,1933,352410.2932
9961598,Site C,"61 Main St, Bolton",312666.1879,346744.5899,Ward 1,Freehold,Long-term,Operational,350.0331987,Lease 3,Commercial,Function 1,Detail 3,1,109.5194548,1900,302853.0172
2231339,Site E,"434 Church St, Bolton",320331.942,384722.2675,Ward 3,Freehold,Long-term,Non-Operational,259.042859,Lease 1,Industrial,Function 3,Detail 1,0,61.71124025,1943,289364.4074
5919369,Site B,"895 Church St, Salford",353358.0031,390574.6166,Ward 1,Leasehold,Short-term,Operational,184.3021756,Lease 2,Industrial,Function 3,Detail 1,1,72.79177664,1942,273750.6224
9528690,Site E,"496 Church St, Bury",388102.6288,368526.9404,Ward 5,Freehold,Long-term,Operational,300.4339981,Lease 3,Commercial,Function 2,Detail 2,1,79.22039007,1930,263461.9555
6511097,Site E,"969 Main St, Manchester",313010.5031,371888.3077,Ward 1,Freehold,Long-term,Non-Operational,457.3891928,Lease 3,Residential,Function 3,Detail 2,0,137.9134211,1952,273369.4365
9479238,Site B,"700 Church St, Stockport",356426.8678,314110.8371,Ward 2,Freehold,Short-term,Operational,236.8291241,Lease 3,Industrial,Function 3,Detail 1,1,112.0933564,2008,339990.0994
5313462,Site C,"520 Mill Rd, Manchester",375313.1701,332384.4966,Ward 4,Leasehold,Short-term,Non-Operational,484.6922912,Lease 3,Commercial,Function 2,Detail 3,1,109.7734331,1924,486451.9171
1220465,Site B,"157 Broadway, Stockport",374335.3474,355773.2495,Ward 4,Freehold,Long-term,Non-Operational,370.2670185,Lease 3,Industrial,Function 3,Detail 3,1,101.8824167,2022,311258.4247
6071190,Site A,"600 Mill Rd, Bolton",362796.1132,300351.5145,Ward 3,Freehold,Short-term,Non-Operational,321.1734625,Lease 3,Industrial,Function 1,Detail 3,0,98.36167712,1986,473868.8784
7903851,Site E,"243 High St, Bury",394092.1067,384727.7911,Ward 5,Freehold,Long-term,Operational,76.88431558,Lease 1,Residential,Function 1,Detail 1,1,94.21192355,1953,349884.1721
7888888,Site E,"196 Main St, Salford",348213.7131,336947.9522,Ward 5,Leasehold,Long-term,Operational,414.5407718,Lease 2,Residential,Function 1,Detail 2,1,78.40310024,1956,347099.9216
8615584,Site C,"118 High St, Salford",388024.466,372339.8289,Ward 3,Leasehold,Short-term,Operational,352.6444417,Lease 1,Residential,Function 1,Detail 1,1,103.8505685,1987,290056.8743
6265572,Site B,"799 High St, Stockport",361958.394,376929.7623,Ward 4,Freehold,Short-term,Non-Operational,107.1160366,Lease 2,Residential,Function 2,Detail 3,1,71.59058079,2001,320422.3559
6008105,Site D,"90 Main St, Bury",373746.6679,354808.3051,Ward 2,Leasehold,Long-term,Operational,54.77378417,Lease 2,Industrial,Function 1,Detail 3,1,96.00517996,2007,342174.35
8187558,Site C,"18 Church St, Bolton",346483.2185,379022.6536,Ward 4,Leasehold,Long-term,Non-Operational,471.0647427,Lease 1,Industrial,Function 2,Detail 1,0,111.0794592,1942,465522.2686
9114611,Site C,"217 Broadway, Salford",316761.934,368240.7838,Ward 4,Leasehold,Long-term,Operational,139.3037378,Lease 2,Industrial,Function 2,Detail 2,0,101.0776457,1991,434638.3216
6388734,Site C,"373 Mill Rd, Manchester",310909.5422,335984.4537,Ward 2,Leasehold,Short-term,Non-Operational,239.8849184,Lease 3,Industrial,Function 3,Detail 2,0,126.8529099,1994,317057.1428
1719965,Site B,"538 High St, Salford",368233.0415,381615.6028,Ward 4,Freehold,Short-term,Non-Operational,238.4752256,Lease 1,Industrial,Function 3,Detail 2,1,59.93884344,1964,238522.9931
7287838,Site C,"834 Main St, Manchester",337647.6193,363605.546,Ward 1,Freehold,Short-term,Non-Operational,88.68527039,Lease 3,Residential,Function 1,Detail 2,0,74.89355105,1915,364980.8886
7768492,Site A,"423 Main St, Stockport",356748.2815,316020.4745,Ward 5,Freehold,Short-term,Non-Operational,411.8705545,Lease 1,Commercial,Function 2,Detail 1,0,105.5672482,1973,469081.0896
2222125,Site A,"274 Broadway, Bury",374604.9332,377282.4112,Ward 4,Leasehold,Short-term,Non-Operational,321.6478059,Lease 2,Industrial,Function 2,Detail 2,1,95.90196788,1997,339850.266
8303204,Site E,"433 Main St, Stockport",378648.1708,367618.7013,Ward 2,Leasehold,Long-term,Non-Operational,290.790404,Lease 1,Commercial,Function 2,Detail 3,1,94.79473349,1947,273416.127
1811105,Site E,"757 Church St, Stockport",350966.0329,328465.0968,Ward 5,Leasehold,Long-term,Non-Operational,438.319499,Lease 3,Commercial,Function 3,Detail 2,0,133.1163256,1959,182911.7984
6059815,Site B,"438 Main St, Salford",331450.2397,384197.8129,Ward 5,Leasehold,Long-term,Non-Operational,459.635168,Lease 1,Commercial,Function 1,Detail 1,0,83.07241858,1907,466387.9113
5596065,Site D,"162 Mill Rd, Bury",377588.0275,337400.752,Ward 4,Leasehold,Short-term,Non-Operational,107.8995399,Lease 3,Industrial,Function 3,Detail 2,1,95.35096578,1992,313075.9661
7864967,Site E,"159 High St, Manchester",341534.5273,355273.9291,Ward 4,Freehold,Short-term,Non-Operational,359.4190208,Lease 3,Residential,Function 3,Detail 3,0,87.14564408,1990,363785.689
8611743,Site E,"762 Church St, Stockport",393673.0758,334315.9606,Ward 4,Freehold,Long-term,Non-Operational,170.7320561,Lease 2,Residential,Function 1,Detail 2,1,82.22564485,1951,243481.1422
8144499,Site E,"699 High St, Manchester",382457.2024,372436.6909,Ward 3,Freehold,Long-term,Operational,401.1884609,Lease 2,Residential,Function 1,Detail 3,0,106.6814443,1901,272468.6007
4941597,Site E,"156 High St, Bolton",374691.6728,358117.2168,Ward 5,Leasehold,Short-term,Operational,102.5550715,Lease 3,Commercial,Function 2,Detail 3,1,115.3436707,1974,237858.4998
1926719,Site C,"413 High St, Bury",324124.4133,347029.3071,Ward 3,Leasehold,Long-term,Operational,134.5968702,Lease 1,Residential,Function 2,Detail 1,0,89.76685769,1917,407978.7713
4177796,Site E,"762 Mill Rd, Bury",336276.2006,302031.9425,Ward 4,Freehold,Long-term,Non-Operational,145.840276,Lease 2,Industrial,Function 3,Detail 3,0,78.2358932,2019,120777.7903
4269597,Site B,"862 Broadway, Manchester",384898.0732,360718.4572,Ward 2,Freehold,Long-term,Non-Operational,330.356564,Lease 3,Residential,Function 1,Detail 3,0,88.11971281,1972,226772.2673
9180171,Site C,"440 Mill Rd, Salford",302313.9766,362235.2129,Ward 4,Freehold,Long-term,Non-Operational,350.5868602,Lease 1,Industrial,Function 1,Detail 3,1,82.19594732,1962,263660.3432
1349350,Site C,"11 Church St, Bury",378146.8746,318123.5354,Ward 4,Leasehold,Long-term,Operational,463.3617834,Lease 3,Commercial,Function 2,Detail 3,1,106.7836387,1937,329713.2028
8475566,Site B,"484 High St, Stockport",340415.1559,333230.92,Ward 1,Freehold,Long-term,Non-Operational,83.35716133,Lease 2,Commercial,Function 3,Detail 3,0,92.70777566,1929,355140.7179
3199177,Site D,"862 Broadway, Bury",379934.9077,387878.7911,Ward 1,Freehold,Long-term,Non-Operational,357.9019233,Lease 3,Commercial,Function 2,Detail 3,0,98.36451088,1984,224315.6153
4410979,Site E,"721 Mill Rd, Bolton",355239.1898,354916.5759,Ward 5,Leasehold,Long-term,Non-Operational,55.62115203,Lease 1,Industrial,Function 3,Detail 1,1,86.4567454,1960,413385.2155
7967902,Site A,"592 Broadway, Bury",352680.6701,343507.9705,Ward 5,Leasehold,Short-term,Operational,279.1866766,Lease 3,Commercial,Function 1,Detail 3,0,85.83791044,2015,438727.938
8717612,Site D,"649 Church St, Stockport",370159.1348,393596.1739,Ward 5,Freehold,Short-term,Operational,257.2206054,Lease 1,Industrial,Function 2,Detail 3,0,68.18256926,1935,325171.0549
9437331,Site E,"970 Mill Rd, Manchester",380633.3837,381194.5512,Ward 3,Leasehold,Long-term,Operational,70.26856569,Lease 2,Residential,Function 2,Detail 1,0,97.95451616,1940,265237.0959
6546238,Site A,"16 High St, Bolton",369345.4795,309747.1991,Ward 5,Leasehold,Short-term,Operational,134.0616791,Lease 3,Residential,Function 3,Detail 3,1,119.1781095,1970,184080.2533
7695841,Site C,"436 Mill Rd, Bury",345071.4306,385892.7371,Ward 1,Freehold,Long-term,Operational,410.8100533,Lease 3,Residential,Function 2,Detail 1,0,60.83891809,2003,272772.9654
8394503,Site C,"501 Church St, Salford",332083.6077,314973.5561,Ward 5,Freehold,Short-term,Operational,186.8346667,Lease 1,Industrial,Function 3,Detail 3,1,68.43846546,1989,405870.7218
4278650,Site C,"412 Main St, Manchester",384562.9879,317480.2335,Ward 4,Freehold,Long-term,Non-Operational,266.9368671,Lease 2,Commercial,Function 1,Detail 3,0,103.7374715,2006,302794.665
1840348,Site E,"550 Church St, Bolton",352077.7619,307534.7547,Ward 1,Leasehold,Short-term,Operational,227.4211288,Lease 2,Commercial,Function 3,Detail 2,0,77.3830015,1931,400481.2901
1035074,Site B,"25 Mill Rd, Bury",378346.0751,348135.1094,Ward 3,Leasehold,Short-term,Non-Operational,133.5276338,Lease 3,Commercial,Function 1,Detail 3,1,115.3996811,1915,228516.8978
7992124,Site C,"124 Main St, Bolton",399571.7443,364468.9316,Ward 3,Freehold,Long-term,Operational,473.441006,Lease 2,Industrial,Function 3,Detail 1,1,70.03139964,1991,204994.9327
1590317,Site C,"477 Main St, Manchester",364388.758,375371.5461,Ward 5,Leasehold,Short-term,Non-Operational,73.83083023,Lease 2,Residential,Function 3,Detail 2,0,120.8620968,1925,242014.5205
8892680,Site C,"23 High St, Manchester",327834.6195,302672.5266,Ward 3,Freehold,Short-term,Operational,258.0024378,Lease 2,Commercial,Function 2,Detail 2,0,110.7944709,1974,321899.1885
1984907,Site E,"285 High St, Bolton",386555.6607,317786.133,Ward 3,Freehold,Short-term,Operational,201.3580322,Lease 2,Commercial,Function 3,Detail 2,0,117.0951637,1906,229051.7571
3653225,Site A,"528 Broadway, Manchester",327367.3048,362122.2692,Ward 1,Freehold,Long-term,Operational,350.0365823,Lease 1,Commercial,Function 1,Detail 3,0,130.2016271,1994,258223.0088
5263171,Site D,"533 Broadway, Stockport",326040.0968,352558.352,Ward 5,Leasehold,Short-term,Non-Operational,341.146708,Lease 3,Residential,Function 3,Detail 1,1,114.0086578,1943,234121.8004
3018672,Site C,"6 Mill Rd, Salford",307393.7022,305135.3901,Ward 5,Freehold,Long-term,Operational,363.5155399,Lease 1,Residential,Function 2,Detail 3,1,123.3756902,1946,187438.7275
7323665,Site D,"697 Mill Rd, Stockport",307856.2697,393540.9942,Ward 4,Leasehold,Long-term,Operational,274.6307667,Lease 2,Industrial,Function 3,Detail 3,1,84.21697863,1946,350096.1178
7053802,Site B,"486 Mill Rd, Manchester",386232.1368,375851.0396,Ward 5,Leasehold,Short-term,Non-Operational,99.80250008,Lease 3,Residential,Function 3,Detail 2,0,93.6081782,1941,221335.1036
4847520,Site B,"514 Mill Rd, Bury",323072.9515,335879.6305,Ward 5,Freehold,Short-term,Non-Operational,276.467994,Lease 2,Industrial,Function 3,Detail 3,1,84.38280351,1935,461911.7698
2755817,Site B,"975 High St, Manchester",310868.8182,353639.8345,Ward 1,Leasehold,Long-term,Non-Operational,445.6551501,Lease 2,Residential,Function 3,Detail 1,1,114.0009972,1915,410352.3374
1996221,Site C,"75 Mill Rd, Bury",335258.7994,337425.6,Ward 4,Freehold,Long-term,Operational,197.9437238,Lease 1,Commercial,Function 2,Detail 2,0,108.4168904,1945,350994.1228
3880770,Site D,"984 Broadway, Bolton",371354.4106,345528.9296,Ward 4,Leasehold,Short-term,Non-Operational,448.7702357,Lease 1,Commercial,Function 3,Detail 3,1,115.327939,2019,350216.8943
6733067,Site A,"301 Mill Rd, Bolton",333963.1056,359618.4148,Ward 5,Leasehold,Long-term,Non-Operational,366.2793766,Lease 1,Commercial,Function 2,Detail 3,0,110.5478965,2015,319792.3436
1293712,Site E,"55 Church St, Salford",330928.0067,339846.7416,Ward 2,Leasehold,Short-term,Operational,476.8308339,Lease 2,Industrial,Function 3,Detail 2,1,98.82278464,2013,279671.6043
2232561,Site D,"541 Mill Rd, Manchester",348806.5729,362071.7816,Ward 4,Freehold,Long-term,Non-Operational,269.6580806,Lease 1,Industrial,Function 1,Detail 2,1,97.59695203,1960,354622.3494
3224830,Site E,"269 Main St, Bolton",302120.0144,346514.6817,Ward 5,Leasehold,Short-term,Non-Operational,175.4869054,Lease 1,Commercial,Function 1,Detail 3,1,133.054628,1924,266915.833
2342562,Site D,"196 Main St, Manchester",349107.3473,365726.0986,Ward 5,Freehold,Long-term,Non-Operational,82.95466355,Lease 2,Commercial,Function 1,Detail 3,0,78.84987658,1964,326911.6031
3275333,Site C,"74 Broadway, Manchester",399001.9022,326222.1518,Ward 1,Freehold,Long-term,Operational,53.68279921,Lease 2,Residential,Function 3,Detail 1,0,81.99659656,1910,248056.7873
2432351,Site A,"241 Broadway, Stockport",379934.86,317119.2102,Ward 4,Freehold,Short-term,Operational,456.8843582,Lease 1,Commercial,Function 1,Detail 1,1,94.50404605,1991,281199.4627
2271050,Site C,"28 Broadway, Salford",307049.1799,301358.2277,Ward 4,Freehold,Short-term,Operational,303.9881003,Lease 2,Commercial,Function 2,Detail 1,1,66.42573013,2001,290841.6473
8572108,Site B,"672 High St, Bury",365482.249,360198.0139,Ward 2,Leasehold,Short-term,Non-Operational,98.32126335,Lease 3,Residential,Function 1,Detail 2,0,112.1710187,1919,353114.543
1179117,Site A,"762 Broadway, Stockport",346111.2213,398078.1205,Ward 5,Leasehold,Short-term,Operational,208.0059479,Lease 1,Industrial,Function 3,Detail 2,0,82.46323952,1924,329894.9745
8496353,Site D,"542 High St, Bolton",382624.8567,342038.7293,Ward 4,Leasehold,Short-term,Operational,313.3996447,Lease 3,Residential,Function 2,Detail 2,0,100.9236457,1955,217489.2056
4386271,Site C,"154 Main St, Manchester",309852.6216,321262.8142,Ward 3,Leasehold,Short-term,Non-Operational,464.9210464,Lease 3,Industrial,Function 3,Detail 2,1,133.8202463,1959,368798.9779
7721736,Site E,"733 Main St, Manchester",323272.8811,301310.8931,Ward 4,Leasehold,Long-term,Non-Operational,383.5547487,Lease 1,Commercial,Function 3,Detail 2,0,95.23352145,1907,228414.5686
5996102,Site C,"98 High St, Bury",379114.108,351278.3943,Ward 5,Leasehold,Long-term,Non-Operational,238.457762,Lease 2,Commercial,Function 1,Detail 2,0,89.85387602,1969,384136.3632
7875989,Site C,"69 Main St, Bury",384919.9338,399270.4606,Ward 3,Leasehold,Short-term,Operational,67.9090455,Lease 1,Industrial,Function 1,Detail 2,1,106.9121234,1917,313522.7247
9693199,Site D,"776 High St, Bury",352931.5767,398377.5353,Ward 2,Leasehold,Long-term,Non-Operational,338.6622892,Lease 3,Industrial,Function 3,Detail 3,0,112.2732001,1992,221695.9626
4285959,Site D,"495 Main St, Bury",301969.7027,310135.2833,Ward 3,Leasehold,Long-term,Non-Operational,213.9968363,Lease 3,Residential,Function 3,Detail 2,1,131.3669792,1984,308576.1676
6114820,Site B,"255 Broadway, Stockport",389371.5023,381640.7022,Ward 1,Leasehold,Short-term,Operational,81.49801922,Lease 3,Commercial,Function 2,Detail 3,1,85.05631427,1991,262385.9458
4950896,Site A,"129 Broadway, Bury",338276.5226,317332.0559,Ward 3,Leasehold,Short-term,Non-Operational,423.6666111,Lease 3,Residential,Function 1,Detail 2,1,84.57283312,2009,240029.3687
4477817,Site C,"422 Main St, Bury",303968.0534,380935.1511,Ward 3,Leasehold,Long-term,Operational,471.4279376,Lease 2,Industrial,Function 1,Detail 2,0,88.30436365,1921,363757.3789
4430877,Site E,"416 Mill Rd, Stockport",381881.2246,385354.9299,Ward 3,Leasehold,Long-term,Operational,286.7173594,Lease 2,Residential,Function 2,Detail 2,0,95.21823415,1964,263520.6121
7734706,Site D,"82 Broadway, Stockport",341806.9122,300773.4229,Ward 5,Leasehold,Short-term,Non-Operational,102.1819351,Lease 1,Industrial,Function 1,Detail 2,1,111.7011417,1982,299366.7982
2556977,Site D,"267 Church St, Bolton",318999.029,323726.138,Ward 2,Freehold,Long-term,Operational,231.0913983,Lease 1,Residential,Function 3,Detail 1,0,109.4536379,1995,216341.7274
4463238,Site B,"486 Main St, Salford",380157.8264,305655.1676,Ward 3,Leasehold,Short-term,Operational,84.75452675,Lease 1,Commercial,Function 1,Detail 2,0,73.61296514,1919,323033.5009
3656113,Site A,"487 Broadway, Bolton",345771.5677,349890.9625,Ward 1,Freehold,Short-term,Non-Operational,410.8376843,Lease 3,Residential,Function 2,Detail 3,1,106.4041995,1909,331131.4631
7520541,Site B,"629 Main St, Stockport",360780.9563,302671.6194,Ward 4,Leasehold,Long-term,Operational,293.4999461,Lease 3,Commercial,Function 1,Detail 3,1,109.4210353,1927,338783.0656
7306197,Site D,"771 Church St, Stockport",382312.1424,362608.5238,Ward 3,Leasehold,Short-term,Non-Operational,227.0159172,Lease 2,Industrial,Function 2,Detail 3,0,140.4723561,1904,248432.4797
8960522,Site E,"357 Main St, Stockport",352242.2089,355832.9792,Ward 4,Leasehold,Short-term,Operational,378.4508817,Lease 1,Industrial,Function 3,Detail 2,0,82.48710279,1981,207102.7669
7260228,Site B,"685 High St, Bolton",311047.8032,337939.316,Ward 4,Freehold,Short-term,Non-Operational,426.6172025,Lease 2,Residential,Function 1,Detail 1,0,101.0109739,1932,302851.8724
7380565,Site C,"313 Mill Rd, Bolton",396376.1825,346180.1744,Ward 4,Leasehold,Long-term,Operational,402.3135301,Lease 1,Residential,Function 1,Detail 1,0,71.28118736,1979,383432.5916
5291454,Site D,"49 Mill Rd, Bury",328654.0507,399009.4979,Ward 3,Freehold,Short-term,Operational,419.5023678,Lease 3,Residential,Function 3,Detail 3,0,86.13751292,2004,312265.495
4753268,Site D,"718 High St, Manchester",399424.9432,316765.262,Ward 5,Leasehold,Short-term,Non-Operational,440.5685003,Lease 3,Residential,Function 2,Detail 2,1,129.6647208,2003,384119.7436
1544038,Site B,"260 Main St, Manchester",300602.4538,373103.7953,Ward 3,Freehold,Short-term,Operational,260.7437037,Lease 2,Commercial,Function 3,Detail 2,1,82.21829214,1908,270220.1596
5332605,Site E,"258 Church St, Stockport",348378.8058,364530.9692,Ward 3,Freehold,Short-term,Operational,346.6746002,Lease 1,Residential,Function 1,Detail 2,1,76.85846654,1994,223039.8636
6152102,Site B,"887 Broadway, Bury",370493.4997,366369.8677,Ward 5,Freehold,Long-term,Operational,315.6992165,Lease 2,Residential,Function 1,Detail 1,1,84.99675557,2005,195312.9859
4108432,Site E,"824 Main St, Bury",390630.1934,334571.4262,Ward 2,Leasehold,Long-term,Operational,107.5372621,Lease 1,Industrial,Function 3,Detail 2,1,112.2531482,1972,381065.4485
9894056,Site D,"947 Church St, Bolton",378033.6945,321647.0365,Ward 5,Leasehold,Short-term,Non-Operational,157.5478375,Lease 1,Commercial,Function 3,Detail 2,0,108.9966533,1991,382619.1393
9247457,Site B,"71 High St, Manchester",325562.7819,365082.2988,Ward 3,Freehold,Short-term,Non-Operational,127.3042717,Lease 3,Residential,Function 2,Detail 2,1,98.10565995,2024,303071.771
3922653,Site A,"167 Mill Rd, Bury",324330.4408,391272.4654,Ward 3,Freehold,Long-term,Operational,342.119208,Lease 1,Commercial,Function 1,Detail 2,1,111.6458534,1927,284024.6784
5743920,Site B,"922 Church St, Salford",335658.6666,397598.7485,Ward 5,Leasehold,Short-term,Operational,438.4541521,Lease 1,Industrial,Function 3,Detail 1,0,85.59453032,2000,342412.4277
4336500,Site B,"458 Broadway, Salford",311054.0201,348091.0206,Ward 1,Leasehold,Long-term,Operational,391.2554525,Lease 3,Residential,Function 1,Detail 2,0,91.19197424,1912,367893.2121
9483836,Site A,"492 Mill Rd, Manchester",366957.3245,342561.1652,Ward 5,Freehold,Long-term,Non-Operational,219.7508303,Lease 1,Residential,Function 3,Detail 1,1,75.5604044,2001,343447.6023
4099550,Site A,"158 Mill Rd, Salford",394125.8343,334894.2337,Ward 4,Leasehold,Short-term,Non-Operational,346.1515194,Lease 2,Industrial,Function 1,Detail 3,0,100.7010222,1966,274674.7069
3464314,Site C,"399 Broadway, Bury",364210.4381,380997.5367,Ward 5,Freehold,Long-term,Operational,234.4789844,Lease 3,Commercial,Function 2,Detail 3,0,46.97343401,1936,364064.9436
7164370,Site A,"120 Main St, Manchester",353337.3629,325539.9433,Ward 1,Freehold,Long-term,Operational,173.5210401,Lease 3,Industrial,Function 2,Detail 1,1,105.6142563,2004,414870.7489
7072987,Site E,"535 Church St, Salford",350334.9216,351302.7382,Ward 4,Leasehold,Short-term,Operational,452.0958947,Lease 1,Commercial,Function 3,Detail 1,1,116.2677429,2000,190711.4412
1409484,Site C,"913 Church St, Salford",359261.3127,334505.4387,Ward 3,Freehold,Short-term,Non-Operational,142.1189194,Lease 1,Residential,Function 2,Detail 2,0,93.82588662,1996,389358.6793
9909491,Site E,"700 Main St, Stockport",371061.2925,387570.0828,Ward 2,Leasehold,Short-term,Operational,335.4905688,Lease 3,Industrial,Function 2,Detail 2,1,73.22988685,1937,338671.5257
9800841,Site C,"593 Main St, Stockport",379499.9354,328267.416,Ward 5,Leasehold,Long-term,Operational,387.7877134,Lease 1,Industrial,Function 3,Detail 2,0,91.76345196,1905,299391.1134
6021318,Site C,"586 Church St, Salford",369832.1172,368648.7806,Ward 5,Freehold,Short-term,Operational,328.3460084,Lease 2,Residential,Function 1,Detail 1,0,81.87633686,1963,240293.3517
2570901,Site E,"106 Church St, Salford",370503.1873,358874.8498,Ward 5,Freehold,Long-term,Non-Operational,104.0464873,Lease 1,Commercial,Function 2,Detail 1,1,64.62367158,1932,274617.5454
7303011,Site D,"334 Broadway, Manchester",395173.3809,332837.1089,Ward 5,Freehold,Long-term,Non-Operational,171.3238162,Lease 2,Industrial,Function 3,Detail 3,1,85.8235832,1977,326225.8407
2929479,Site D,"475 Church St, Stockport",389934.3395,325478.1665,Ward 1,Leasehold,Long-term,Non-Operational,56.56120579,Lease 3,Commercial,Function 2,Detail 1,1,100.7908425,1921,297842.6457
9372135,Site B,"599 Mill Rd, Bury",382392.3318,380378.83,Ward 4,Leasehold,Long-term,Operational,391.4071472,Lease 1,Commercial,Function 2,Detail 2,1,115.0187512,1931,374094.0227
7319087,Site D,"918 Church St, Salford",304336.0241,351050.0881,Ward 1,Freehold,Long-term,Operational,133.2827702,Lease 1,Commercial,Function 2,Detail 1,1,89.20334488,2010,253859.6284
3597079,Site B,"177 Broadway, Bury",366886.7347,361146.3182,Ward 2,Freehold,Short-term,Non-Operational,435.2937187,Lease 3,Industrial,Function 2,Detail 1,0,110.4644133,1934,277378.3814
8966569,Site D,"453 Main St, Manchester",345498.0776,396208.7756,Ward 1,Leasehold,Short-term,Non-Operational,124.4577925,Lease 3,Commercial,Function 1,Detail 1,1,105.0652488,1948,204587.1623
4436774,Site B,"856 High St, Stockport",361759.9218,339801.6414,Ward 5,Freehold,Long-term,Non-Operational,217.314565,Lease 3,Residential,Function 1,Detail 2,1,98.38367835,1951,344601.4222
6375677,Site B,"473 Mill Rd, Bolton",368628.2173,381427.897,Ward 2,Freehold,Short-term,Non-Operational,113.9753966,Lease 1,Industrial,Function 2,Detail 3,1,57.26290816,1948,237042.0051
8990834,Site A,"293 Main St, Stockport",371465.1876,363876.2879,Ward 2,Leasehold,Long-term,Non-Operational,289.7350752,Lease 2,Commercial,Function 1,Detail 3,1,111.8540275,1902,367612.046
9230610,Site B,"261 Mill Rd, Manchester",386942.629,359353.4725,Ward 2,Leasehold,Short-term,Non-Operational,317.205389,Lease 3,Residential,Function 2,Detail 2,1,89.44167591,1976,341692.9455
8117927,Site E,"367 Broadway, Stockport",390999.1168,305456.1425,Ward 3,Leasehold,Short-term,Non-Operational,152.8226976,Lease 3,Industrial,Function 1,Detail 3,1,110.6426794,1977,281516.4047
1898920,Site E,"483 Main St, Bury",360682.8413,391235.7878,Ward 1,Freehold,Short-term,Non-Operational,233.2713026,Lease 2,Industrial,Function 2,Detail 2,1,120.7560632,1943,245508.5623
1193636,Site B,"711 Mill Rd, Bolton",389416.4235,322859.9831,Ward 2,Freehold,Short-term,Non-Operational,102.7012765,Lease 3,Industrial,Function 1,Detail 2,1,84.59279188,1900,378690.0212
4862143,Site E,"189 High St, Salford",376462.172,347318.8158,Ward 4,Freehold,Long-term,Operational,404.5232557,Lease 2,Commercial,Function 2,Detail 2,0,119.6994735,2000,278790.0112
4927904,Site D,"816 Main St, Bolton",320272.5389,375201.3312,Ward 2,Freehold,Long-term,Operational,403.9533746,Lease 1,Industrial,Function 3,Detail 1,1,96.38726231,1966,353565.9762
5157176,Site E,"987 Mill Rd, Salford",303531.1899,352232.339,Ward 4,Leasehold,Long-term,Operational,166.3153488,Lease 1,Residential,Function 3,Detail 3,1,104.1692201,2008,383223.4995
7692845,Site A,"781 Mill Rd, Manchester",300988.8319,300433.6297,Ward 1,Leasehold,Long-term,Operational,168.9040469,Lease 2,Residential,Function 2,Detail 2,1,66.24929033,1963,406499.9369
2685392,Site E,"628 Main St, Manchester",358662.3197,394903.7974,Ward 4,Leasehold,Short-term,Non-Operational,324.3434325,Lease 3,Commercial,Function 2,Detail 3,0,128.6112822,2006,380165.8328
3529224,Site D,"329 Mill Rd, Stockport",352159.3256,302048.5109,Ward 1,Freehold,Short-term,Operational,324.0471757,Lease 2,Industrial,Function 2,Detail 1,1,79.25471587,2006,251386.415
